,1stFlrSF,BsmtExposure,BsmtQual,CentralAir,Fireplaces,GarageArea,GarageFinish,GrLivArea,HeatingQC,KitchenQual,LotArea,LotConfig,LotShape,MSSubClass,MSZoning,Neighborhood,OverallQual,PavedDrive,RoofStyle,SaleCondition,YearRemodAdd
0,0.3453845570505627,0.0,0.6666666666666666,1.0,0.0,0.3682795698924731,0.5,0.5777122882260084,1.0,0.6666666666666666,0.36634390392935035,0.0,0.0,0.2352941176470588,0.6666666666666666,0.6875,0.6666666666666665,1.0,0.0,0.6666666666666666,0.11290322580645161
1,0.4878435014643432,1.0,0.6666666666666666,1.0,0.25,0.30913978494623656,0.5,0.4702445078729567,1.0,0.3333333333333333,0.39131676594912324,0.5,0.0,0.0,0.6666666666666666,0.4375,0.5555555555555556,1.0,0.0,0.6666666666666666,0.532258064516129
2,0.37184570540218687,0.3333333333333333,0.6666666666666666,1.0,0.25,0.40860215053763443,0.5,0.59309515868294,1.0,0.6666666666666666,0.4223585003026551,0.0,0.3333333333333333,0.2352941176470588,0.6666666666666666,0.6875,0.6666666666666665,1.0,0.0,0.6666666666666666,0.12903225806451613
3,0.38784671670926807,0.0,0.3333333333333333,1.0,0.25,0.43145161290322587,0.0,0.5791574328965412,0.75,0.6666666666666666,0.3902947416306548,0.25,0.3333333333333333,0.2941176470588235,0.6666666666666666,0.75,0.6666666666666665,1.0,0.0,0.0,0.6129032258064515
4,0.4521379500141114,0.6666666666666666,0.6666666666666666,1.0,0.25,0.5618279569892474,0.5,0.6665228823649914,1.0,0.6666666666666666,0.46876115019364417,0.5,0.3333333333333333,0.2352941176470588,0.6666666666666666,1.0,0.7777777777777777,1.0,0.0,0.6666666666666666,0.16129032258064516
5,0.31871499671149417,0.0,0.6666666666666666,1.0,0.0,0.32258064516129037,0.0,0.4972202460326831,1.0,0.3333333333333333,0.4667608511414305,0.0,0.3333333333333333,0.17647058823529413,0.6666666666666666,0.375,0.4444444444444445,1.0,0.0,0.6666666666666666,0.25806451612903225
6,0.5958832997167658,0.6666666666666666,1.0,1.0,0.25,0.4274193548387097,0.5,0.574386761705187,1.0,0.6666666666666666,0.4009434910197882,0.0,0.0,0.0,0.6666666666666666,0.8125,0.7777777777777777,1.0,0.0,0.6666666666666666,0.06451612903225806
7,0.43975169513927304,0.3333333333333333,0.6666666666666666,1.0,0.5,0.3252688172043011,0.5,0.6486996026216678,1.0,0.3333333333333333,0.4066434667460965,0.25,0.3333333333333333,0.2352941176470588,0.6666666666666666,0.5625,0.6666666666666665,1.0,0.0,0.6666666666666666,0.6129032258064515
8,0.410432114368791,0.0,0.3333333333333333,1.0,0.5,0.31451612903225806,0.0,0.5907103163127223,0.75,0.3333333333333333,0.30320468089956254,0.0,0.0,0.17647058823529413,0.3333333333333333,0.125,0.6666666666666665,1.0,0.0,0.0,0.9677419354838709
9,0.4296689331365666,0.0,0.3333333333333333,1.0,0.5,0.1377688172043011,0.5,0.41416859178121257,1.0,0.3333333333333333,0.34090313546925666,0.25,0.0,1.0,0.6666666666666666,0.0625,0.4444444444444445,1.0,0.0,0.6666666666666666,0.9677419354838709
10,0.4168394644609288,0.0,0.3333333333333333,1.0,0.0,0.25806451612903225,0.0,0.4018019472209433,1.0,0.3333333333333333,0.42148670726993065,0.0,0.0,0.0,0.6666666666666666,0.25,0.4444444444444445,1.0,1.0,0.6666666666666666,0.7258064516129031
11,0.46380941905451323,0.0,1.0,1.0,0.5,0.49462365591397855,1.0,0.6862416243752785,1.0,1.0,0.4337463155279633,0.0,0.3333333333333333,0.2352941176470588,0.6666666666666666,0.9375,0.8888888888888888,1.0,1.0,1.0,0.03225806451612903
12,0.368640536972225,0.0,0.3333333333333333,1.0,0.0,0.23655913978494625,0.0,0.35534179992186843,0.5,0.3333333333333333,0.4501731759854719,0.0,1.0,0.0,0.6666666666666666,0.25,0.4444444444444445,1.0,1.0,0.6666666666666666,0.7741935483870968
13,0.5497763928649224,0.6666666666666666,0.6666666666666666,1.0,0.25,0.5645161290322581,0.5,0.5299431652300703,1.0,0.6666666666666666,0.4116683360033915,0.0,0.3333333333333333,0.0,0.6666666666666666,0.6875,0.6666666666666665,1.0,0.0,1.0,0.03225806451612903
